Filename: C:\Users\japan\OneDrive - University of Twente\Documenten\Extraction and Dissemination\photogrammetry_project\images\ortho.tif
ROI: Built-up [Red] 3392 points

Basic Stats	  Min	  Max	      Mean	    Stdev
     Band 1	   75	  236	180.775943	45.100771
     Band 2	   91	  225	168.137677	37.759513
     Band 3	   96	  215	156.856132	35.138139

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 1     	   75	      1	      1	  0.0295	  0.0295
           	   76	      5	      6	  0.1474	  0.1769
           	   77	     14	     20	  0.4127	  0.5896
           	   78	     11	     31	  0.3243	  0.9139
           	   79	     14	     45	  0.4127	  1.3267
           	   80	     10	     55	  0.2948	  1.6215
           	   81	     20	     75	  0.5896	  2.2111
           	   82	     25	    100	  0.7370	  2.9481
           	   83	     46	    146	  1.3561	  4.3042
           	   84	     91	    237	  2.6828	  6.9870
           	   85	     40	    277	  1.1792	  8.1663
           	   86	     43	    320	  1.2677	  9.4340
           	   87	     13	    333	  0.3833	  9.8172
           	   88	      2	    335	  0.0590	  9.8762
           	   89	      0	    335	  0.0000	  9.8762
           	   90	      0	    335	  0.0000	  9.8762
           	   91	      0	    335	  0.0000	  9.8762
           	   92	      0	    335	  0.0000	  9.8762
           	   93	      0	    335	  0.0000	  9.8762
           	   94	      0	    335	  0.0000	  9.8762
           	   95	      0	    335	  0.0000	  9.8762
           	   96	      0	    335	  0.0000	  9.8762
           	   97	      0	    335	  0.0000	  9.8762
           	   98	      0	    335	  0.0000	  9.8762
           	   99	      0	    335	  0.0000	  9.8762
           	  100	      0	    335	  0.0000	  9.8762
           	  101	      0	    335	  0.0000	  9.8762
           	  102	      0	    335	  0.0000	  9.8762
           	  103	      0	    335	  0.0000	  9.8762
           	  104	      0	    335	  0.0000	  9.8762
           	  105	      0	    335	  0.0000	  9.8762
           	  106	      0	    335	  0.0000	  9.8762
           	  107	      0	    335	  0.0000	  9.8762
           	  108	      0	    335	  0.0000	  9.8762
           	  109	      0	    335	  0.0000	  9.8762
           	  110	      0	    335	  0.0000	  9.8762
           	  111	      0	    335	  0.0000	  9.8762
           	  112	      0	    335	  0.0000	  9.8762
           	  113	      0	    335	  0.0000	  9.8762
           	  114	      0	    335	  0.0000	  9.8762
           	  115	      0	    335	  0.0000	  9.8762
           	  116	      0	    335	  0.0000	  9.8762
           	  117	      0	    335	  0.0000	  9.8762
           	  118	      0	    335	  0.0000	  9.8762
           	  119	      0	    335	  0.0000	  9.8762
           	  120	      0	    335	  0.0000	  9.8762
           	  121	      0	    335	  0.0000	  9.8762
           	  122	      0	    335	  0.0000	  9.8762
           	  123	      0	    335	  0.0000	  9.8762
           	  124	      0	    335	  0.0000	  9.8762
           	  125	      0	    335	  0.0000	  9.8762
           	  126	      0	    335	  0.0000	  9.8762
           	  127	      0	    335	  0.0000	  9.8762
           	  128	      0	    335	  0.0000	  9.8762
           	  129	      2	    337	  0.0590	  9.9351
           	  130	      4	    341	  0.1179	 10.0531
           	  131	     17	    358	  0.5012	 10.5542
           	  132	     63	    421	  1.8573	 12.4116
           	  133	    114	    535	  3.3608	 15.7724
           	  134	    127	    662	  3.7441	 19.5165
           	  135	     73	    735	  2.1521	 21.6686
           	  136	     54	    789	  1.5920	 23.2606
           	  137	     29	    818	  0.8550	 24.1156
           	  138	     25	    843	  0.7370	 24.8526
           	  139	     21	    864	  0.6191	 25.4717
           	  140	     19	    883	  0.5601	 26.0318
           	  141	     11	    894	  0.3243	 26.3561
           	  142	     15	    909	  0.4422	 26.7983
           	  143	      7	    916	  0.2064	 27.0047
           	  144	      4	    920	  0.1179	 27.1226
           	  145	     16	    936	  0.4717	 27.5943
           	  146	     30	    966	  0.8844	 28.4788
           	  147	     67	   1033	  1.9752	 30.4540
           	  148	     46	   1079	  1.3561	 31.8101
           	  149	     19	   1098	  0.5601	 32.3703
           	  150	     17	   1115	  0.5012	 32.8715
           	  151	     10	   1125	  0.2948	 33.1663
           	  152	      2	   1127	  0.0590	 33.2252
           	  153	      0	   1127	  0.0000	 33.2252
           	  154	      1	   1128	  0.0295	 33.2547
           	  155	      1	   1129	  0.0295	 33.2842
           	  156	      1	   1130	  0.0295	 33.3137
           	  157	      0	   1130	  0.0000	 33.3137
           	  158	      0	   1130	  0.0000	 33.3137
           	  159	      0	   1130	  0.0000	 33.3137
           	  160	      0	   1130	  0.0000	 33.3137
           	  161	      0	   1130	  0.0000	 33.3137
           	  162	      0	   1130	  0.0000	 33.3137
           	  163	      0	   1130	  0.0000	 33.3137
           	  164	      0	   1130	  0.0000	 33.3137
           	  165	      0	   1130	  0.0000	 33.3137
           	  166	      0	   1130	  0.0000	 33.3137
           	  167	      0	   1130	  0.0000	 33.3137
           	  168	      0	   1130	  0.0000	 33.3137
           	  169	      0	   1130	  0.0000	 33.3137
           	  170	      0	   1130	  0.0000	 33.3137
           	  171	      0	   1130	  0.0000	 33.3137
           	  172	      0	   1130	  0.0000	 33.3137
           	  173	      0	   1130	  0.0000	 33.3137
           	  174	      0	   1130	  0.0000	 33.3137
           	  175	      0	   1130	  0.0000	 33.3137
           	  176	      0	   1130	  0.0000	 33.3137
           	  177	      0	   1130	  0.0000	 33.3137
           	  178	      1	   1131	  0.0295	 33.3432
           	  179	      0	   1131	  0.0000	 33.3432
           	  180	      0	   1131	  0.0000	 33.3432
           	  181	      0	   1131	  0.0000	 33.3432
           	  182	      0	   1131	  0.0000	 33.3432
           	  183	      3	   1134	  0.0884	 33.4316
           	  184	      1	   1135	  0.0295	 33.4611
           	  185	      3	   1138	  0.0884	 33.5495
           	  186	      4	   1142	  0.1179	 33.6675
           	  187	      5	   1147	  0.1474	 33.8149
           	  188	     27	   1174	  0.7960	 34.6108
           	  189	     82	   1256	  2.4175	 37.0283
           	  190	    144	   1400	  4.2453	 41.2736
           	  191	    122	   1522	  3.5967	 44.8703
           	  192	     29	   1551	  0.8550	 45.7252
           	  193	      6	   1557	  0.1769	 45.9021
           	  194	      5	   1562	  0.1474	 46.0495
           	  195	      2	   1564	  0.0590	 46.1085
           	  196	      6	   1570	  0.1769	 46.2854
           	  197	     10	   1580	  0.2948	 46.5802
           	  198	      5	   1585	  0.1474	 46.7276
           	  199	      6	   1591	  0.1769	 46.9045
           	  200	      7	   1598	  0.2064	 47.1108
           	  201	     16	   1614	  0.4717	 47.5825
           	  202	     18	   1632	  0.5307	 48.1132
           	  203	     14	   1646	  0.4127	 48.5259
           	  204	     19	   1665	  0.5601	 49.0861
           	  205	     19	   1684	  0.5601	 49.6462
           	  206	     17	   1701	  0.5012	 50.1474
           	  207	     26	   1727	  0.7665	 50.9139
           	  208	     41	   1768	  1.2087	 52.1226
           	  209	     43	   1811	  1.2677	 53.3903
           	  210	     65	   1876	  1.9163	 55.3066
           	  211	    123	   1999	  3.6262	 58.9328
           	  212	    157	   2156	  4.6285	 63.5613
           	  213	    184	   2340	  5.4245	 68.9858
           	  214	    134	   2474	  3.9505	 72.9363
           	  215	     97	   2571	  2.8597	 75.7960
           	  216	     93	   2664	  2.7417	 78.5377
           	  217	     90	   2754	  2.6533	 81.1910
           	  218	     84	   2838	  2.4764	 83.6675
           	  219	     76	   2914	  2.2406	 85.9080
           	  220	    119	   3033	  3.5083	 89.4163
           	  221	    138	   3171	  4.0684	 93.4847
           	  222	     91	   3262	  2.6828	 96.1675
           	  223	     56	   3318	  1.6509	 97.8184
           	  224	     22	   3340	  0.6486	 98.4670
           	  225	     12	   3352	  0.3538	 98.8208
           	  226	     13	   3365	  0.3833	 99.2040
           	  227	      9	   3374	  0.2653	 99.4693
           	  228	      3	   3377	  0.0884	 99.5578
           	  229	      1	   3378	  0.0295	 99.5873
           	  230	      5	   3383	  0.1474	 99.7347
           	  231	      3	   3386	  0.0884	 99.8231
           	  232	      2	   3388	  0.0590	 99.8821
           	  233	      1	   3389	  0.0295	 99.9116
           	  234	      1	   3390	  0.0295	 99.9410
           	  235	      0	   3390	  0.0000	 99.9410
           	  236	      2	   3392	  0.0590	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 2     	   91	      1	      1	  0.0295	  0.0295
           	   92	      2	      3	  0.0590	  0.0884
           	   93	      5	      8	  0.1474	  0.2358
           	   94	     12	     20	  0.3538	  0.5896
           	   95	     21	     41	  0.6191	  1.2087
           	   96	     15	     56	  0.4422	  1.6509
           	   97	     38	     94	  1.1203	  2.7712
           	   98	     84	    178	  2.4764	  5.2476
           	   99	     70	    248	  2.0637	  7.3113
           	  100	     68	    316	  2.0047	  9.3160
           	  101	     17	    333	  0.5012	  9.8172
           	  102	      2	    335	  0.0590	  9.8762
           	  103	      0	    335	  0.0000	  9.8762
           	  104	      0	    335	  0.0000	  9.8762
           	  105	      0	    335	  0.0000	  9.8762
           	  106	      0	    335	  0.0000	  9.8762
           	  107	      0	    335	  0.0000	  9.8762
           	  108	      0	    335	  0.0000	  9.8762
           	  109	      0	    335	  0.0000	  9.8762
           	  110	      0	    335	  0.0000	  9.8762
           	  111	      0	    335	  0.0000	  9.8762
           	  112	      0	    335	  0.0000	  9.8762
           	  113	      0	    335	  0.0000	  9.8762
           	  114	      0	    335	  0.0000	  9.8762
           	  115	      0	    335	  0.0000	  9.8762
           	  116	      0	    335	  0.0000	  9.8762
           	  117	      0	    335	  0.0000	  9.8762
           	  118	      0	    335	  0.0000	  9.8762
           	  119	      0	    335	  0.0000	  9.8762
           	  120	      0	    335	  0.0000	  9.8762
           	  121	      0	    335	  0.0000	  9.8762
           	  122	      0	    335	  0.0000	  9.8762
           	  123	      1	    336	  0.0295	  9.9057
           	  124	      1	    337	  0.0295	  9.9351
           	  125	      5	    342	  0.1474	 10.0825
           	  126	      7	    349	  0.2064	 10.2889
           	  127	     31	    380	  0.9139	 11.2028
           	  128	     83	    463	  2.4469	 13.6498
           	  129	    162	    625	  4.7759	 18.4257
           	  130	    109	    734	  3.2134	 21.6392
           	  131	     66	    800	  1.9458	 23.5849
           	  132	     41	    841	  1.2087	 24.7936
           	  133	     29	    870	  0.8550	 25.6486
           	  134	     23	    893	  0.6781	 26.3267
           	  135	     21	    914	  0.6191	 26.9458
           	  136	     10	    924	  0.2948	 27.2406
           	  137	     46	    970	  1.3561	 28.5967
           	  138	     64	   1034	  1.8868	 30.4835
           	  139	     45	   1079	  1.3267	 31.8101
           	  140	     21	   1100	  0.6191	 32.4292
           	  141	     18	   1118	  0.5307	 32.9599
           	  142	      7	   1125	  0.2064	 33.1663
           	  143	      2	   1127	  0.0590	 33.2252
           	  144	      1	   1128	  0.0295	 33.2547
           	  145	      1	   1129	  0.0295	 33.2842
           	  146	      1	   1130	  0.0295	 33.3137
           	  147	      2	   1132	  0.0590	 33.3726
           	  148	      3	   1135	  0.0884	 33.4611
           	  149	     12	   1147	  0.3538	 33.8149
           	  150	     29	   1176	  0.8550	 34.6698
           	  151	     52	   1228	  1.5330	 36.2028
           	  152	     41	   1269	  1.2087	 37.4116
           	  153	     20	   1289	  0.5896	 38.0012
           	  154	     22	   1311	  0.6486	 38.6498
           	  155	     14	   1325	  0.4127	 39.0625
           	  156	     12	   1337	  0.3538	 39.4163
           	  157	     12	   1349	  0.3538	 39.7700
           	  158	      4	   1353	  0.1179	 39.8880
           	  159	      2	   1355	  0.0590	 39.9469
           	  160	      2	   1357	  0.0590	 40.0059
           	  161	      0	   1357	  0.0000	 40.0059
           	  162	      0	   1357	  0.0000	 40.0059
           	  163	      3	   1360	  0.0884	 40.0943
           	  164	      1	   1361	  0.0295	 40.1238
           	  165	      1	   1362	  0.0295	 40.1533
           	  166	      4	   1366	  0.1179	 40.2712
           	  167	     10	   1376	  0.2948	 40.5660
           	  168	     12	   1388	  0.3538	 40.9198
